name,name:com,name:en,name:nl,name:de,name:fr,name:es,name:eo,name:ru
Cygnus cygnus,Whooper Swan,Whooper Swan,wilde zwaan,Singschwan,cygne chanteur,cisne cantor,kantocigno,ле́бедь-клику́н
Troglodytes troglodytes,Eurasian Wren,Eurasian Wren,winterkoning,Zaunkönig,troglodyte mignon,chochín común,troglodito,крапи́вник
Numenius arquata,Eurasian Curlew,Eurasian Curlew,wulp,großer Brachvogel,courlis cendré,zarapito real,granda kurlo,большо́й кро́ншнеп
Turdus philomelos,Song Thrush,Song Thrush,zanglijster,Singdrossel,grive musicienne,zorzal común,kantoturdo,пе́вчий дрозд
Haliaeetus albicilla,White-tailed Eagle,White-tailed Eagle,zeearend,Seeadler,pygargue à queue blanche,pigargo europeo,blankvosta maraglo,орла́н-белохво́ст
Larus argentatus,Herring Gull,Herring Gull,zilvermeeuw,Silbermöwe,goéland argenté,gaviota argéntea,arĝentmevo,серебри́стая ча́йка
Corvus corone,Carrion Crow,Carrion Crow,zwarte kraai,Aaskrähe,corneille noire,corneja negra,korniko,чёрная воро́на
Dryocopus martius,Black Woodpecker,Black Woodpecker,zwarte specht,Schwarzspecht,pic noir,pito negro,nigra pego,желна́
Sylvia atricapilla,Eurasian Blackcap,Eurasian Blackcap,zwartkop,Mönchsgrasmücke,fauvette à tête noire,curruca capirotada,nigraĉapa silvio,черноголо́вая сла́вка
Poecile palustris,Marsh Tit,Marsh Tit,glanskop,Sumpfmeise,mésange nonnette,carbonero palustre,marĉoparuo,черноголо́вая га́ичка
Poecile montanus,Willow Tit,Willow Tit,matkop,Weidenmeise,mésange boréale,carbonero montano,salikparuo,буроголо́вая га́ичка
Alcedo atthis,Common Kingfisher,Common Kingfisher,ijsvogel,Eisvogel,martin-pêcheur d'Europe,martín pescador común,Eŭropa alciono,обыкнове́нный зиморо́док
Aegithalos caudatus,Long-tailed Tit,Long-tailed Tit,staartmees,Schwanzmeise,mésange à longue queue,mito,egitalo,длиннохво́стая сини́ца
Anas crecca,Green-winged Teal,Green-winged Teal,wintertaling,Krickente,sarcelle d'hiver,cerceta común,kreko,чиро́к-свистуно́к
Cuculus canorus,Common Cuckoo,Common Cuckoo,koekoek,Kuckuck,coucou gris,cuco común,kukolo,обыкнове́нная куку́шка
Motacilla alba,White Wagtail,White Wagtail,witte kwikstaart,Bachstelze,bergeronnette grise,lavandera blanca,blanka motacilo,бе́лая трясогу́зка
Phylloscopus collybita,Common Chiffchaff,Common Chiffchaff,tjiftjaf,Zilpzalp,pouillot véloce,mosquitero común,ĉifĉafo,пе́ночка-тенько́вка
Phylloscopus trochilus,Willow Warbler,Willow Warbler,fitis,Fitis,pouillot fitis,mosquitero musical,fitiso,пе́ночка-весни́чка
Coccothraustes coccothraustes,Hawfinch,Hawfinch,appelvink,Kernbeißer,gros-bec casse-noyaux,picogordo común,kenrorompulo,обыкнове́нный дубоно́с
Aythya ferina,Common Pochard,Common Pochard,tafeleend,Tafelente,fuligule milouin,porrón europeo,brunkapa anaso,красноголо́вый ныро́к
Tringa ochropus,Green Sandpiper,Green Sandpiper,witgat,Waldwasserläufer,chevalier culblanc,andarríos grande,blankpuga tringo,черны́ш
