name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Prunella modularis,14,19-24,19-21,"insects, worms, seeds","woodland, farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Prunellidae</div><div>Genus&nbsp;<i>Prunella</i></div>,"Insekten, Würmer, Samen",,,,,"насекомые , черви, семена","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Aegithalos caudatus,14,7-10,16-19,"insects, seeds","woodland, farmland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Aegithalidae</div><div>Genus&nbsp;<i>Aegithalos</i></div>,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Äcker, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, пустоши, городская среда, пригород"
Alauda arvensis,18-19,33-45,30-36,"seeds, insects","farmland, grassland, heathland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Alaudidae</div><div>Genus&nbsp;<i>Alauda</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grasland, Heide, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона, возвышенности"
Branta canadensis,90-110,4.3-5k,1.5-1.8m,"grass, leaves, seeds","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Branta</i></div>,"Gras, Blätter, Samen",,,,,"трава, листья, семена","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Streptopelia decaocto,32,200,51,"seeds, grain, buds","farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Columbiformes</div><div>Family Columbidae</div><div>Genus&nbsp;<i>Streptopelia</i></div>,"Samen, Körner, Knospen",,,,,"семена, зерно, бутоны","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Poecile palustris,11.5,10-13,18-19.5,"insects, seeds","woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Paridae</div><div>Genus&nbsp;<i>Poecile</i></div>,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Tachybaptus ruficollis,25-29,100-140,40-45,insects,"marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Podicipediformes</div><div>Family Podicipedidae</div><div>Genus&nbsp;<i>Tachybaptus</i></div>,Insekten,,,,,насекомые ,"Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, городская среда, пригород"
Pyrrhula pyrrhula,14.5-16.5,21-27,22-26,"seeds, buds, insects","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus&nbsp;<i>Pyrrhula</i></div>,"Samen, Knospen, Insekten",,,,,"семена, бутоны, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Vanellus vanellus,28-31,140-320,82-87,"worms, insects","farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Charadriidae</div><div>Genus&nbsp;<i>Vanellus</i></div>,"Würmer, Insekten",,,,,"черви, насекомые ","Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Anas crecca,34-38,240-360,58-64,seeds,"grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,Samen,,,,,семена,"Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
