name,lang,,,,
Passer montanus,de,Feldsperlinge sind sehr treue Gesellen und gehen eine lebenslange Partnerschaft ein. Im Winter kuscheln sie sich gerne mit anderen Feldsperlingen in einen Nistkasten.,,,
Passer montanus,fr,,,,
Passer montanus,es,,,,
Passer montanus,eo,,,,
Passer montanus,ru,,,,
Corvus monedula,en,,,,
Corvus monedula,nl,,,,
Corvus monedula,de,Dohlen sind hochintelligente und sehr soziale Vögel. Sie kümmern sich sogar um kranke Tiere und helfen bei der Versorgung anderer Jungtiere.,,,
Corvus monedula,fr,,,,
Corvus monedula,es,,,,
Corvus monedula,eo,,,,
Corvus monedula,ru,,,,
Phoenicurus ochruros,en,,,,
Phoenicurus ochruros,nl,,,,
Phoenicurus ochruros,de,Mancherorts gilt der Hausrotschwanz als Glücksbringer.,,,
Phoenicurus ochruros,fr,,,,
Phoenicurus ochruros,es,,,,
Phoenicurus ochruros,eo,,,,
Phoenicurus ochruros,ru,,,,
Apus apus,en,,,,
Apus apus,nl,,,,
Apus apus,de,Außerhalb der Fortpflanzungszeit verbringen Mauersegler mehrere Monate lang fliegend. Dabei können sie sogar schlafen und im Flug Sex haben.,,,
Apus apus,fr,,,,
Apus apus,es,,,,
Apus apus,eo,,,,
Apus apus,ru,,,,
Turdus pilaris,en,,,,
Turdus pilaris,nl,,,,
Turdus pilaris,de,"Kommt ein Greifvogel der brütenden Kolonie zu nah, attackieren die Drosseln den Feind und bespritzen ihn mit Kot, sodass er sogar kurzzeitig nicht mehr fliegen kann.",,,
Turdus pilaris,fr,,,,
Turdus pilaris,es,,,,
Turdus pilaris,eo,,,,
Turdus pilaris,ru,,,,
Certhia brachydactyla,en,,,,
Certhia brachydactyla,nl,,,,
Certhia brachydactyla,de,"In kalten Nächten schlafen Gartenbaumläufer in Gruppen und wechseln immer wieder die Position, sodass jeder mal den wärmsten Platz in der Mitte hat",,,
Certhia brachydactyla,fr,,,,
Certhia brachydactyla,es,,,,
