name,filename,media_type,user,url,license
Mareca penelope,Anas_penelope_image_male_3.jpg,image_male,© Annelies Vriens,https://waarneming.nl/foto/view/7945671,https://creativecommons.org/licenses/by-nd/3.0/legalcode
Mareca penelope,Anas_penelope_image_male_4.jpg,image_male,© Leo Janssen,https://waarneming.nl/foto/view/7785506,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Mareca penelope,Anas_penelope_image_male_5.jpg,image_male,© Annelies Vriens,https://waarneming.nl/foto/view/7926742,https://creativecommons.org/licenses/by-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_call_1.mp3,call,© maudoc,http://www.xeno-canto.org/170678,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_female_1.jpg,image_female,© BAT Svensson,http://waarneming.nl/foto/view/6395129,http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_female_2.jpg,image_female,© Erik op den Dries,https://waarneming.nl/foto/view/10330619,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_female_3.jpg,image_female,© Erik op den Dries,https://waarneming.nl/foto/view/6937122,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_female_4.jpg,image_female,© Ellen de Lange,https://waarneming.nl/foto/view/574097,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_female_5.jpg,image_female,© Richard Schoonderwoert,https://waarneming.nl/foto/view/13985628,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_male_1.jpg,image_male,© Ad Maas,http://waarneming.nl/foto/view/6394595,http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_male_2.jpg,image_male,© Oscar en Jolanda Balm,https://waarneming.nl/foto/view/5895340,https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Anas platyrhynchos,Anas_platyrhynchos_image_male_3.jpg,image_male,© René van Rossum,https://waarneming.nl/foto/view/2785325,https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
